,name,alias,ra,dec,refs,discovery_date,hasPhot,hasSpec,json_path,z
84,RX J1420+53,['RX J1420+53'],215d06m03s,53d34m11s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2000A&A...362L..25G', '2017ApJ...835...64G']",1990-07-11 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/RX-J1420+53.json,0.147
85,IGR J17361-4441,['IGR J17361-4441'],264d04m21.3s,-44d44m05.98s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014arXiv1407.5081D', '2011ApJ...737..103S', '2017ApJ...835...64G']",2003-03-22 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/IGR-J17361-4441.json,0.000271
86,J100933,['J100933'],152d23m17.1s,23d22m55.8s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-02-20 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/J100933.json,0.0719
87,ASASSN-20lk,"['ASASSN-20lk', 'AT 2020svp']",207d38m12s,-30d02m55.6s,['ASAS-SN Supernovae'],2020-09-08 17:16:48.000,False,False,/home/nfranz/radio-ecle/ecle-otter/ASASSN-20lk.json,
88,2019cmw,"['ZTF19aaniqrr', 'ATLAS19kel', '2019cmw', 'PS19cws', 'AT2019cmw']",282d09m52.182s,51d00m48.7332s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2019TNSTR.464....1N']",58567.51133101852,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2019cmw.json,0.5167
89,2020ksf,"['Gaia20cjk', 'ZTF20abgbdpr', '2020ksf', 'AT2020ksf']",323d51m49.2264s,-18d16m35.364s,"['2024ApJ...963...75W', '2024MNRAS.527.2452M', '2020TNSTR1450....1H']",58960.425,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2020ksf.json,0.0942
90,2021mhg,"['ATLAS21wwe', '2021mhg', 'Gaia21cwh', 'ZTF21abaxaqq', 'ATLAS21qbq', 'AT2021mhg']",4d55m43.40244s,29d19m00.71436s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR1620....1M', '2021TNSCR2672....1C']",59345.48390049768,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021mhg.json,0.073
91,2018mac,"['ASASSN-22ci', '2022dbl', 'ZTF18aabdajx', 'Gaia22bdt', 'PS22cdn', '2018mac', 'ATLAS18bcnl', 'AT2022dbl']",185d11m16.17036s,49d33m04.40064s,"['2022TNSCR.504....1A', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2022TNSTR.372....1D', '2022TNSTR1433....1S']",58254.20157,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022dbl.json,0.0284
92,IGR J12580+0134,['IGR J12580+0134'],194d31m16.5s,1d34m26s,"['2015ApJ...809..172I', '2016MNRAS.461.3375Y', '2017ApJ...842..126P']",55572.0,True,False,/home/nfranz/radio-ecle/ecle-otter/IGR-J12580+0134.json,0.00411
93,PGC 1127938,['PGC 1127938'],19d44m09.6s,-1d03m10.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/radio-ecle/ecle-otter/PGC-1127938.json,0.02
94,2019vcb,"['2019vcb', 'ZTF19acspeuw', 'Gaia19feb', 'ATLAS19bcyz', 'AT2019vcb']",189d44m05.7329556s,33d09m57.2151492s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2019TNSTR2396....1N', '2020TNSCR2126....1D']",58802.551620370374,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2019vcb.json,0.088
95,2022bdw,"['2022bdw', 'ATLAS22dth', 'Gaia22baj', 'PS22avi', 'ZTF22aaahtqz', 'AT2022bdw']",126d17m35.62476s,18d34m57.47304s,"['2022TNSCR.511....1A', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2022TNSTR.284....1T']",59610.401,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022bdw.json,0.0378
96,2XMMi J1847,"['2XMMi J1847', '2XMMi J184725.1-631724']",281d51m17.4s,-63d17m24.96s,"['2016A&A...594A..13P', '2011ApJ...738...52L', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/radio-ecle/ecle-otter/2XMMi-J1847.json,0.0353
97,SDSSJ0159,['SDSSJ0159'],29d59m24.6s,0d33m10.49s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015MNRAS.452...69M', '2017ApJ...835...64G']",2000-07-29 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSSJ0159.json,0.31167
98,PGC 133344,['PGC 133344'],325d43m58.8s,-30d07m58.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/radio-ecle/ecle-otter/PGC-133344.json,0.02365
99,2022gri,"['PS22nfs', 'ATLAS23doq', 'ZTF20aahmtso', '2022gri', 'AT2022gri']",109d35m11.91408s,33d59m41.47116s,"['2022TNSAN..99....1Y', '2024MNRAS.527.2452M', '2022TNSTR.890....1F', '2022TNSCR1156....1Y']",59672.157,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022gri.json,0.028
100,J145851,['J145851'],224d42m54.75s,17d50m57.9s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G']",2009-04-29 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/J145851.json,0.1165
101,SDSS_J1247,['SDSS_J1247'],191d51m35.5785s,7d05m25.0809s,"['2024arXiv240216951C', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2006-05-21 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSS_J1247.json,0.104
102,TDE2,"['SDSS-TDE2', 'TDE2']",350d57m09.225s,-1d08m10.34s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...741...73V', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M']",2007-06-18 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/TDE2.json,0.2515
103,PTF10iya,['PTF10iya'],219d40m15s,37d39m33.6s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012MNRAS.420.2684C', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W']",2010-06-11 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/PTF10iya.json,0.22405
104,2021jsg,"['ZTF21aaeoitd', '2021jsg', 'AT2021jsg']",167d09m10.72044s,30d45m40.58424s,"['2021TNSCR1221....1Y', '2024MNRAS.527.2452M', '2021TNSTR1202....1H']",59221.47831,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021jsg.json,0.126
