name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
AT2021acak,1995-03-18,49794,mjd,,L,1.4,GHz,1.30168214673176,0,mJy,TRUE,NF,NVSS,True,
AT2018dyk,1995-03-18,49794,mjd,,L,1.4,GHz,2.21648463048041,0,mJy,TRUE,NF,NVSS,True,
AT2018gn,1995-03-18,49794,mjd,,L,1.4,GHz,1.794188,0,mJy,TRUE,NF,NVSS,True,
SDSS_J1402,1993-04-02T00:00:00.000,49079,mjd,,L,1.3649,GHz,0.388009080258734,0,mJy,True,NF,FIRST,TRUE,
SDSS_J2220,1997-05-23T00:00:00.000,50591,mjd,,L,1.4,GHz,0.445473263445011,0,mJy,True,NF,FIRST,TRUE,
AT2022fpx,1997-04-30T00:00:00.000,50568,mjd,,L,1.4351,GHz,0.387117830612806,0,mJy,True,NF,FIRST,TRUE,
SDSS_J0748,1997-03-31T00:00:00.000,50538,mjd,,L,1.4351,GHz,0.414888222908101,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1207,1995-12-10T00:00:00.000,50061,mjd,,L,1.4351,GHz,0.414191864988111,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1055,1997-04-30T00:00:00.000,50568,mjd,,L,1.4,GHz,0.444348227385285,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1342,2000-01-31T00:00:00.000,51574,mjd,,L,1.4351,GHz,0.409082108023117,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1459,1994-08-27T00:00:00.000,49591,mjd,,L,1.4,GHz,0.407647512364963,0,mJy,True,NF,FIRST,TRUE,
SDSS_J0807,1998-07-05T00:00:00.000,50999,mjd,,L,1.4351,GHz,0.41102804387071,0,mJy,True,NF,FIRST,TRUE,
AT2020vdq,1997-02-17T00:00:00.000,50496,mjd,,L,1.4351,GHz,0.422903224563759,0,mJy,True,NF,FIRST,TRUE,
AT2017gge,1995-12-10T00:00:00.000,50061,mjd,,L,1.4351,GHz,0.547452401956433,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1458,1999-11-13T00:00:00.000,51495,mjd,,L,1.4,GHz,0.438029845480326,0,mJy,True,NF,FIRST,TRUE,
AT2018dyk,1997-02-28T00:00:00.000,50507,mjd,,L,1.4351,GHz,0.470053327810968,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1238,1864-05-08T00:00:00.000,51179,mjd,,L,1.4351,GHz,0.437244716180215,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1715,1997-04-30T00:00:00.000,50568,mjd,,L,1.4351,GHz,0.432580063326111,0,mJy,True,NF,FIRST,TRUE,
AT2021acak,1999-10-31T00:00:00.000,51482,mjd,,L,1.4351,GHz,0.412227039584514,0,mJy,True,NF,FIRST,TRUE,
SDSS_J0952,1998-08-31T00:00:00.000,51056,mjd,,L,1.4351,GHz,0.390023831609651,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1247,2000-01-31T00:00:00.000,51574,mjd,,L,1.4351,GHz,0.420805476785214,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1241,1997-02-28T00:00:00.000,50507,mjd,,L,1.4351,GHz,0.440642620863816,0,mJy,True,NF,FIRST,TRUE,
SDSS_J1350,1993-05-04T00:00:00.000,49111,mjd,,L,1.3649,GHz,0.410396545737767,0,mJy,True,NF,FIRST,TRUE,
SDSS_J0952,2024-04-30T01:03:38.250,60430.0441927083,mjd,B,S,3,GHz,0.368530170400799,0,mJy,True,VLASS 3.2,VLASS 3.2,TRUE,
SDSS_J0952,2021-12-01T09:23:36.150,59549.391390625,mjd,B,S,3,GHz,0.357901148217421,0,mJy,True,VLASS 2.2,VLASS 2.2,TRUE,
SDSS_J0952,2019-04-19T00:22:54.075,58592.0159036458,mjd,B,S,3,GHz,0.392083872068385,0,mJy,True,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J1207,2023-02-12T07:58:49.800,59987.3325208333,mjd,B,S,3,GHz,0.396178634436488,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J1207,2017-11-24T13:59:04.875,58081.5826953125,mjd,B,S,3,GHz,0.366850221540566,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1207,2020-09-06T20:57:22.500,59098.8731770833,mjd,B,S,3,GHz,0.474842064979445,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
AT2022upj,2020-10-21T04:19:54.750,59143.1804947917,mjd,B,S,3,GHz,0.566189803821978,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
AT2022upj,2023-03-26T17:56:22.650,60029.747484375,mjd,B,S,3,GHz,0.533497717809532,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
AT2022upj,2017-11-12T02:40:37.425,58069.1115442708,mjd,B,S,3,GHz,0.510033655075936,0,mJy,True,VLASS 1.1,VLASS 1.1,TRUE,
AT2021qth,2023-06-14T09:11:04.200,60109.3826875,mjd,B,S,3,GHz,0.41464527946612,0,mJy,True,VLASS 3.1,VLASS 3.1,TRUE,
AT2021qth,2020-11-01T00:03:23.400,59154.0023541667,mjd,B,S,3,GHz,0.455602151214101,0,mJy,True,VLASS 2.1,VLASS 2.1,TRUE,
