name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J1207,2017-11-24 13:59:05,58081.5827,mjd,B,S,3,GHz,0.3300884136,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J1207,2020-09-06 20:57:23,59098.87318,mjd,B,S,3,GHz,0.4235433273,0,mJy,TRUE,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J1207,2023-02-12 7:58:50,59987.33252,mjd,B,S,3,GHz,0.3650572756,0,mJy,TRUE,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J1241,2016 March 12,57459.16642,mjd,C,C (IF 1-8),4.999,GHz,1502,20.1,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1241,2016 March 12,57459.16642,mjd,C,C (IF 9-16),7.099,GHz,960,16.3,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J1241,2016 March 12,57459.16642,mjd,C,C (all_8bit),5.957,GHz,1259.2,38.4,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,L1,1.3,GHz,4320.3,162.4,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,L2,1.775,GHz,4125.9,131.7,uJy,FALSE,Kate with pwkit,17A-369,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,L (all),1.45,GHz,4281.6,125.7,uJy,FALSE,Kate with pwkit,17A-370,FALSE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,S (IF 1-8),2.627,GHz,2914.1,81.7,uJy,FALSE,Kate with pwkit,17A-371,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,S (IF 9-16),3.523,GHz,2079.7,60.2,uJy,FALSE,Kate with pwkit,17A-372,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,S (all),2.999,GHz,2492.6,69.9,uJy,FALSE,Kate with pwkit,17A-373,FALSE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,C (IF 1-8),4.999,GHz,1217.6,40.4,uJy,FALSE,Kate with pwkit,17A-374,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,C (IF 9-16),7.099,GHz,837.5,31.1,uJy,FALSE,Kate with pwkit,17A-375,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,C (all_3bit),6.199,GHz,1052.8,31,uJy,FALSE,Kate with pwkit,17A-376,FALSE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,X (IF 1-8),8.549,GHz,591.6,29.1,uJy,FALSE,Kate with pwkit,17A-377,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,X (IF 9-16),10.999,GHz,443.3,37.2,uJy,FALSE,Kate with pwkit,17A-378,TRUE,
SDSS_J1241,2017 June 14,57918.05305,mjd,C,X (all),9.774,GHz,526.5,24.7,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J1241,2021-07-24 18:39:48,59419.77763,mjd,C,C1,5,GHz,0.587837,0.019274,mJy,FALSE,Noah Franz,21A-146,TRUE,
SDSS_J1241,2021-07-24 18:39:48,59419.77763,mjd,C,C2,7,GHz,0.418034,0.041756,mJy,FALSE,Noah Franz,21A-146,TRUE,
SDSS_J1241,2021-07-24 18:39:48,59419.77763,mjd,C,C,5.627,GHz,0.496361,0.027878,mJy,FALSE,Noah Franz,21A-146,FALSE,
SDSS_J1241,2019-09-28 0:02:07,58754.00147,mjd,A,X,10.126478,GHz,0.32405,0.011867,mJy,FALSE,Noah Franz,19A-422,FALSE,
SDSS_J1241,2019-09-28 0:02:07,58754.00147,mjd,A,X1,9.12653,GHz,0.317451,0.011438,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2019-09-28 0:41:01,58754.02848,mjd,A,L1,1.3,GHz,2.479172,0.06847,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2019-09-28 0:27:03,58754.01879,mjd,A,S,2.998846,GHz,1.1722,0.05653,mJy,FALSE,Noah Franz,19A-422,FALSE,
SDSS_J1241,2019-09-28 0:41:01,58754.02848,mjd,A,L,1.55,GHz,2.384093,0.085112,mJy,FALSE,Noah Franz,19A-422,FALSE,
SDSS_J1241,2019-09-28 0:27:03,58754.01879,mjd,A,S2,3.49882,GHz,0.686206,0.053429,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2019-09-28 0:41:01,58754.02848,mjd,A,L2,1.775,GHz,1.337061,0.128061,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2019-09-28 0:14:35,58754.01013,mjd,A,C1,5,GHz,0.82995,0.011867,mJy,FALSE,Noah Franz,19A-422,TRUE,
SDSS_J1241,2019-09-28 0:14:35,58754.01013,mjd,A,C2,7,GHz,0.391517,0.016567,mJy,FALSE,Noah Franz,19A-422,TRUE,
