,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,9.330411846366431e+17,1.6629876048885987e+49,1065908992305792.0,5.16087367731457e+46,1065908992305792.0,5.16087367731457e+46,4
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,2.7403470463598805e+19,5.122212469588746e+49,1.7947747130253885e+18,3.5975057074942165e+48,1.7947747130253885e+18,3.5975057074942165e+48,4
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,5.79375441535487e+18,1.5394286070552594e+50,1.896197366037504e+17,7.85922009420664e+48,1.896197366037504e+17,7.85922009420664e+48,4
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,5.341965180032565e+18,1.6170406562414978e+50,2.4093756443355034e+17,1.0824435100615389e+49,2.4093756443355034e+17,1.0824435100615389e+49,4
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,9.339186828930564e+18,2.693346640937483e+50,3.578689849397125e+17,1.4362419211585173e+49,3.578689849397125e+17,1.4362419211585173e+49,4
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,5.151247866125952e+18,1.313122275707083e+49,4.246110759651123e+17,1.3560379752789666e+48,4.246110759651123e+17,1.3560379752789666e+48,4
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.1575312171987753e+19,1.6773862188460116e+49,1.039933078968617e+18,1.692805549105269e+48,1.039933078968617e+18,1.692805549105269e+48,4
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,2.9577747576120704e+18,3.092574816323289e+49,9.748984971712666e+16,1.2239899895051464e+48,9.748984971712666e+16,1.2239899895051464e+48,5
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.4788570164980695e+18,1.7532453526726933e+49,3042960112733184.0,1.0841867707944854e+47,3042960112733184.0,1.0841867707944854e+47,5
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,1.031872912826202e+18,8.439103376276735e+48,1277082532761216.0,2.5150454870757927e+46,1277082532761216.0,2.5150454870757927e+46,5
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,3.1278124493134316e+19,3.4358288772954453e+49,1.8458298725320417e+18,2.3044720670805697e+48,1.8458298725320417e+18,2.3044720670805697e+48,5
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,6.412033392287009e+18,8.159057938868477e+49,2.0774255287848755e+17,4.039971380959399e+48,2.0774255287848755e+17,4.039971380959399e+48,5
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,5.965694422889885e+18,9.249224506480882e+49,3.241167489563433e+17,5.6389807185107895e+48,3.241167489563433e+17,5.6389807185107895e+48,5
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,1.0491659069324487e+19,1.560310860342957e+50,4.102500994841293e+17,7.105972465373181e+48,4.102500994841293e+17,7.105972465373181e+48,5
