,mjd,uJy,duJy,F,n,mag5sig
97,59903.069864000005,-15.0,11.40175425099138,o,2,19.510145798776406
98,59907.07593866667,2.3333333333333335,18.381754238616317,o,3,18.99160760077894
99,59908.314816,-6.5,6.274950199005566,o,4,20.158549280662882
100,59911.066290999996,-12.0,10.668294146675935,o,4,19.582337535236206
101,59912.8126155,-1.25,8.707037383633999,o,4,19.80289896639664
102,59919.123144,65.0,59.0,o,1,17.725444960054592
103,59920.82718474999,13.75,14.15317985471816,o,4,19.27543992516131
104,59923.08225475,7.25,10.668294146675935,o,4,19.582337535236206
105,59948.7979155,31.5,27.225906780123964,o,2,18.56511910619455
106,59960.23212875,-10.5,9.374166629626338,o,4,19.7227433166251
