,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,8.225655986291364e+17,4.143281098011412e+49,4191451730719744.0,4.19823884477269e+47,4191451730719744.0,4.19823884477269e+47,3
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,2.2620033571045736e+19,8.382701404903036e+49,5.914714983711908e+18,1.4764729951764023e+49,5.914714983711908e+18,1.4764729951764023e+49,3
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,4.960225757271204e+18,3.5952569785409073e+50,5.790370964315423e+17,6.437829402845208e+49,5.790370964315423e+17,6.437829402845208e+49,3
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,4.698346449080534e+18,3.373587373410022e+50,8.511728230737459e+17,5.007218811902006e+49,8.511728230737459e+17,5.007218811902006e+49,3
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,8.222772082566087e+18,5.6442095083751635e+50,9.643832726688963e+17,7.701481157777597e+49,9.643832726688963e+17,7.701481157777597e+49,3
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,4.549850297858936e+18,2.685373177528558e+49,1.8514559083848192e+18,8.575534111689802e+48,1.8514559083848192e+18,8.575534111689802e+48,3
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,1.0940889313464226e+19,3.4214952643828307e+49,2.0058813467718246e+18,1.0551959279423698e+49,2.0058813467718246e+18,1.0551959279423698e+49,3
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,2.6581282847106847e+18,5.633778719219556e+49,2.9213273518779085e+17,6.479257133907473e+48,2.9213273518779085e+17,6.479257133907473e+48,4
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,1.3355234502047977e+18,3.401831842839355e+49,9819665733014016.0,8.996471683099572e+47,9819665733014016.0,8.996471683099572e+47,4
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,9.321199940385787e+17,1.6608882697150697e+49,3024666538624128.0,2.0059278284308315e+47,3024666538624128.0,2.0059278284308315e+47,4
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,2.91740381960952e+19,5.579900648543901e+49,5.711901461576749e+18,1.4627835591766274e+49,5.711901461576749e+18,1.4627835591766274e+49,4
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,5.78050325802928e+18,1.5248878800796085e+50,4.5359734648681165e+17,2.0203756882069113e+49,4.5359734648681165e+17,2.0203756882069113e+49,4
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,5.137346624720291e+18,1.570550057735156e+50,1.1148524675692308e+18,2.545756271584755e+49,1.1148524675692308e+18,2.545756271584755e+49,4
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,9.602793547537166e+18,2.7828648316651596e+50,1.1658263277215683e+18,4.4728308012256377e+49,1.1658263277215683e+18,4.4728308012256377e+49,4
