,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
91,AT2022upj,['AT2022upj'],5d59m12.9s,-14d25m23.4s,"['2024arXiv240611972N', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE']",2459822.878,0.054,True,False,/home/nfranz/radio-ecle/.otter/AT2022upj.json
92,J133837,['J133837'],204d39m24s,57d31m13.2s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-11-02 00:00:00.000,0.1269,True,False,/home/nfranz/radio-ecle/.otter/J133837.json
93,2018hco,"['2018hco', 'ATLAS18way', 'AT2018hco', 'ZTF18abxftqm']",16d53m24.4522572s,23d28m34.234662s,"['2016A&A...594A..13P', 'MAST', '2017ApJ...835...64G', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2018TNSTR1509....1T', '2023arXiv230813595C', '2024arXiv240712097A', '2018TNSCR1902....1R']",58395.52,0.088,True,False,/home/nfranz/radio-ecle/.otter/ZTF18abxftqm.json
94,SDSS_J2220,['SDSS_J2220'],335d13m55.968s,-7d53m17.8464s,"['2024arXiv240216951C', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE']",2001-10-21 00:00:00.000,0.149,True,False,/home/nfranz/radio-ecle/.otter/SDSS_J2220.json
95,J094608,['J094608'],146d32m07.35s,35d12m22.4s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017NatAs...1..865K', '2019ApJ...871...15J', '2023PASP..135c4101G']",,0.119,False,False,/home/nfranz/radio-ecle/.otter/J094608.json
96,2018jbv,"['ATLAS19acl', '2018jbv', 'ZTF18acnbpmd', 'PS19aoz', 'AT2018jbv']",197d41m23.2584s,8d34m04.2024s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2018TNSTR2038....1F']",58448.562997685185,0.34,True,False,/home/nfranz/radio-ecle/.otter/AT2018jbv.json
97,2019dsg,"['2019dsg', 'ATLAS19klx', 'ZTF19aapreis', 'AT 2019dsg', 'AT2019dsg']",314d15m44.55s,14d12m15.86s,"['2021NatAs...5..510S', '2021ApJ...919..127C', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2014ApJ...788...48S', '2019TNSTR2019....1N', '2023PASP..135c4101G', ' 2019TNSTR.615....1N', '2023arXiv230813595C', '2024arXiv240712097A', '2019TNSTR.615....1N', '2019TNSCR.772....1S']",2019-04-09 00:00:00.000,0.0512,True,False,/home/nfranz/radio-ecle/.otter/AT2019dsg.json
98,J113527,['J113527'],173d51m49.35s,39d28m10.7s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-04-07 00:00:00.000,0.1084,True,False,/home/nfranz/radio-ecle/.otter/J113527.json
99,2013kp,"['ATLAS19vfr', 'ZTF19abzrhgq', 'PS19gdd', 'Gaia19eks', 'AT2019qiz', 'AT2019qiz (= ZTF19abzrhgq)', '2013kp', '2019qiz']",71d39m28.2132s,-10d13m34.878s,"['2020arXiv200602454N', '2016A&A...594A..13P', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2020MNRAS.499..482N', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2024arXiv240712097A', '2020TNSTR2817....1C', '2019TNSTR1857....1F', '2019TNSCR1921....1S', ' 2019TNSTR1857....1F', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', ' 2019TNSCR1921....1S']",2019-09-19T11:59:43.000,0.0151,True,False,/home/nfranz/radio-ecle/.otter/AT2019qiz.json
100,RX J1420+53,['RX J1420+53'],215d06m03s,53d34m11s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2000A&A...362L..25G', '2017ApJ...835...64G', '2023PASP..135c4101G']",1990-07-11 00:00:00.000,0.147,True,False,/home/nfranz/radio-ecle/.otter/RX-J1420+53.json
101,IGR J17361-4441,['IGR J17361-4441'],264d04m21.3s,-44d44m05.98s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014arXiv1407.5081D', '2011ApJ...737..103S', '2017ApJ...835...64G', '2011A&A...535L...1B', '2023PASP..135c4101G']",2003-03-22 00:00:00.000,0.000271,True,False,/home/nfranz/radio-ecle/.otter/IGR-J17361-4441.json
102,XMMSL2 J140446.9-251135,['XMMSL2 J140446.9-251135'],211d11m45s,-25d11m35s,"['2018ATel11394....1R', '2023PASP..135c4101G']",2018-02-15 00:00:00.000,0.043,False,False,/home/nfranz/radio-ecle/.otter/XMMSL2-J140446.9-251135.json
103,J100933,['J100933'],152d23m17.1s,23d22m55.8s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-02-20 00:00:00.000,0.0719,True,False,/home/nfranz/radio-ecle/.otter/J100933.json
104,ASASSN-20lk,"['ASASSN-20lk', 'AT 2020svp']",207d38m12s,-30d02m55.6s,['ASAS-SN Supernovae'],2020-09-08 17:16:48.000,,False,False,/home/nfranz/radio-ecle/.otter/ASASSN-20lk.json
105,2019cmw,"['PS19cws', 'ATLAS19kel', '2019cmw', 'ZTF19aaniqrr', 'AT2019cmw']",282d09m52.182s,51d00m48.7332s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2019TNSTR.464....1N']",58567.51133101852,0.5167,True,False,/home/nfranz/radio-ecle/.otter/AT2019cmw.json
106,SRGE J163831.7+534020,['SRGE J163831.7+534020'],249d38m00.2436s,53d40m22.5516s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-01 00:00:00.000,0.581,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J163831.7+534020.json
107,2020ksf,"['2020ksf', 'ZTF20abgbdpr', 'Gaia20cjk', 'AT2020ksf']",323d51m49.2264s,-18d16m35.364s,"['2024ApJ...963...75W', '2024MNRAS.527.2452M', '2020TNSTR1450....1H']",58960.425,0.0942,True,False,/home/nfranz/radio-ecle/.otter/AT2020ksf.json
108,2021mhg,"['ATLAS21wwe', 'ZTF21abaxaqq', '2021mhg', 'ATLAS21qbq', 'Gaia21cwh', 'AT2021mhg']",4d55m43.40244s,29d19m00.71436s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR1620....1M', '2024arXiv240712097A', '2021TNSCR2672....1C']",59345.48390049768,0.073,True,False,/home/nfranz/radio-ecle/.otter/AT2021mhg.json
